"id","publication_year","first_author","display_name","Label"
"https://openalex.org/W2796415624","1981","Rolf Sartorius","Political Authority and Political Obligation","Sartorius, 1981"
"https://openalex.org/W2796431936","1989","Michael S. Moore","The Interpretive Turn in Modern Theory: A Turn for the Worse?","Moore, 1989"
"https://openalex.org/W2796528567","1980","John Rawls","Kantian Constructivism in Moral Theory","Rawls, 1980"
"https://openalex.org/W2796554849","1988","Frank I. Michelman","Law's Republic","Michelman, 1988"
"https://openalex.org/W2796683039","1992","Michael S. Moore","Moral Reality Revisited","Moore, 1992"
"https://openalex.org/W2796927986","1989","Richard Craswell","Contract Law, Default Rules, and the Philosophy of Promising","Craswell, 1989"
"https://openalex.org/W2797131397","1973","Martha Smith","Is There a Prima Facie Obligation to Obey the Law?","Smith, 1973"
"https://openalex.org/W2797203174","1956","Wex S. Malone","Ruminations on Cause-in-Fact","Malone, 1956"
"https://openalex.org/W2797213284","1978","Lon L. Fuller","The Forms and Limits of Adjudication","Fuller, 1978"
"https://openalex.org/W2797339575","1935","Fred Cohen","Transcendental Nonsense and the Functional Approach","Cohen, 1935"
"https://openalex.org/W2797344853","1997","Richard H. Fallon join(","""The Rule of Law"" as a Concept in Constitutional Discourse","NA, 1997"
"https://openalex.org/W2797387575","1972","George P. Fletcher","Fairness and Utility in Tort Theory","Fletcher, 1972"
"https://openalex.org/W2797629819","1982","Joseph Raz","Promises in Morality and Law","Raz, 1982"
"https://openalex.org/W2797784986","1985","James Thomson","The Trolley Problem","Thomson, 1985"
"https://openalex.org/W2797818557","1956","Glanville Williams","The Concept of Legal Liberty","Williams, 1956"
"https://openalex.org/W2797910919","1988","Joseph William Singer","The Reliance Interest in Property","Singer, 1988"
"https://openalex.org/W2798002542","1974","John Rawls","The Independence of Moral Theory","Rawls, 1974"
"https://openalex.org/W2798106685","1989","Antonin Scalia","The Rule of Law as a Law of Rules","Scalia, 1989"
"https://openalex.org/W2800616481","1973","George P. Fletcher","Proportionality and the Psychotic Aggressor: A Vignette in Comparative Criminal Theory","Fletcher, 1973"
"https://openalex.org/W2800660311","1986","Lewis A. Kornhauser","Unpacking the Court","Kornhauser, 1986"
"https://openalex.org/W2801922534","1966","Hans Kelsen","On The Pure Theory of Law","Kelsen, 1966"
"https://openalex.org/W2802748901","1986","James Thomson","Liability and Individualized Evidence","Thomson, 1986"
"https://openalex.org/W2888970791","2017","Cécile Laborde","Liberalism’s Religion","Laborde, 2017"
"https://openalex.org/W2889796974","1984","Joseph William Singer","The Player and the Cards: Nihilism and Legal Theory","Singer, 1984"
"https://openalex.org/W2899341281","2003","T. M. Scanlon","The Difficulty of Tolerance","Scanlon, 2003"
