"","work","title","year","first_author","issn","name"
"6043","https://openalex.org/W98769357","Ethics and Humanity: Themes From the Philosophy of Jonathan Glover","2010-01-01","https://openalex.org/A2109726659",NA,NA
"6044","https://openalex.org/W284668303","The Geneva Protocols of 1977 on the Humanitarian Law of Armed Conflict and Customary International Law","1984-01-01","https://openalex.org/A2681605294","0884-0768","Pacific Basin Law Journal"
"6045","https://openalex.org/W589224975","Terrorism for Humanity: Inquiries in Political Philosophy","2003-01-01","https://openalex.org/A216992681",NA,NA
"6046","https://openalex.org/W1601678392","The Concept of Non-International Armed Conflict in International Humanitarian Law","2010-04-08","https://openalex.org/A2337263835",NA,NA
"6047","https://openalex.org/W2070837951","Innocence, Self‐Defense and Killing in War","1994-09-01","https://openalex.org/A2153422416","0963-8016","Journal of Political Philosophy"
"6048","https://openalex.org/W566677027","The Image before the Weapon: A Critical History of the Distinction between Combatant and Civilian","2011-05-02","https://openalex.org/A1847418852",NA,NA
"6049","https://openalex.org/W1493144237","How Terrorism is Wrong: Morality and Political Violence","2008-01-01","https://openalex.org/A2165507455",NA,NA
"6050","https://openalex.org/W1568696742","Armed Struggle: The History of the IRA","2003-01-01","https://openalex.org/A2146361147",NA,NA
"6051","https://openalex.org/W1972534553","Michael Walzer on Resorting to Force","2000-09-01","https://openalex.org/A127247558","0008-4239","Canadian Journal of Political Science"
"6052","https://openalex.org/W1986918788","Rights, Restitution, and Risk: Essays in Moral Theory","1989-07-01","https://openalex.org/A2411128583","0031-8108","The Philosophical Review"
"6053","https://openalex.org/W2018438306","Moral liability to defensive killing and symmetrical self-defense","2010-06-01","https://openalex.org/A2141224635","0963-8016","Journal of Political Philosophy"
"6054","https://openalex.org/W2148099195","Just Cause for War","2005-12-01","https://openalex.org/A2153422416","0892-6794","Ethics & International Affairs"
"6055","https://openalex.org/W2230199555","Law of Peoples","2005-01-01","https://openalex.org/A2892449260",NA,NA
"6056","https://openalex.org/W1515866977","Between war and politics: international relations and the thought of Hannah Arendt","2007-08-17","https://openalex.org/A2142901973",NA,NA
"6057","https://openalex.org/W1560429793","On guerrilla warfare","1961-01-01","https://openalex.org/A69949319",NA,NA
"6058","https://openalex.org/W1579277229","War and the law of nations","2005-01-01","https://openalex.org/A2054091024",NA,NA
"6059","https://openalex.org/W1968106836","Obligations: Essays on Disobedience, War, and Citizenship","1970-01-01","https://openalex.org/A1556649708",NA,NA
"6060","https://openalex.org/W2059176358","Eichmann in Jerusalem: A Report on the Banality of Evil","2011-03-28","https://openalex.org/A1454822660",NA,NA
"6061","https://openalex.org/W2122882703","Human Rights, Freedom, and Political Authority","2012-07-12","https://openalex.org/A2572685378","0090-5917","Political Theory"
"6062","https://openalex.org/W2561298963","Theory of the Partisan: Intermediate Commentary on the Concept of the Political (1963)","2004-03-20","https://openalex.org/A2112661597","0090-6514","Telos"
"6063","https://openalex.org/W2595085788","Enquiries concerning the human understanding and concerning the principles of morals","2014-08-07","https://openalex.org/A3189728248",NA,NA
"6064","https://openalex.org/W567121024","Essays on political philosophy","1992-01-01","https://openalex.org/A2086637445",NA,NA
"6065","https://openalex.org/W623780198","Carl Schmitt's International Thought: Order and Orientation","2009-11-12","https://openalex.org/A2942547932",NA,NA
"6066","https://openalex.org/W1275634928","Moral Dilemmas of Modern War: Torture, Assassination, and Blackmail in an Age of Asymmetric Conflict","2009-11-30","https://openalex.org/A3010373796",NA,NA
"6067","https://openalex.org/W1825118899","The Least of All Possible Evils: Humanitarian Violence from Arendt to Gaza","2012-06-19","https://openalex.org/A1965912540",NA,NA
"6068","https://openalex.org/W2019699447","Terrorism and the uses of terror","2004-03-01","https://openalex.org/A2555859626","1382-4554","The Journal of Ethics"
"6069","https://openalex.org/W2067367755","Racial Profiling Versus Community","2006-05-01","https://openalex.org/A2619157537","0264-3758","Journal of Applied Philosophy"
"6070","https://openalex.org/W2102904727","Liability and Just Cause","2007-06-01","https://openalex.org/A2504169578","0892-6794","Ethics & International Affairs"
"6071","https://openalex.org/W2126246512","Ad Fontes : The Question of Rebellion and Moral Tradition on the Use of Force","2013-12-01","https://openalex.org/A2116239132","0892-6794","Ethics & International Affairs"
"6072","https://openalex.org/W2465619866","The rhetoric of 'terrorism' and its consequences","2002-01-01","https://openalex.org/A2674696041","0047-2697","Journal of Political & Military Sociology"
"6073","https://openalex.org/W108165351","Targeted Killings: Law and Morality in an Asymmetrical World","2012-04-30","https://openalex.org/A2137580671",NA,NA
"6074","https://openalex.org/W658267557","The Order Has Been Carried Out: History, Memory, and Meaning of a Nazi Massacre in Rome","2003-01-01","https://openalex.org/A2648328317",NA,NA
"6075","https://openalex.org/W1486145806","The Wretched of the Earth","1961-01-01","https://openalex.org/A2414819873",NA,NA
"6076","https://openalex.org/W1947718761","The Just Distribution of Harm Between Combatants and Noncombatants","2010-09-01","https://openalex.org/A2153422416","0048-3915","Philosophy & Public Affairs"
"6077","https://openalex.org/W2097679077","Hannah Arendt's Critique of Violence:","2009-04-28","https://openalex.org/A2103988045","0725-5136","Thesis Eleven"
"6078","https://openalex.org/W752258938","Unified Excuse of Preemptive Self-Protection","1999-01-01","https://openalex.org/A2155516799","0745-3515","Notre Dame Law Review"
"6079","https://openalex.org/W1984641938","Freedom from Fear","2007-06-01","https://openalex.org/A662325598","0048-3915","Philosophy & Public Affairs"
"6080","https://openalex.org/W2101295582","The Doctrine of Provocation","1976-11-01","https://openalex.org/A2681015932","0008-1973","Cambridge Law Journal"
"6081","https://openalex.org/W2020958131","Patrolling the borders of consequentialist justifications: the scope of agent-relative restrictions","2007-08-07","https://openalex.org/A2104163316","0167-5249","Law and Philosophy"
"6082","https://openalex.org/W1992475585","Harming In Context","2005-03-01","https://openalex.org/A2111925689","0031-8116","Philosophical Studies"
"6083","https://openalex.org/W2026675255","Psychosemantics: The Problem of Meaning in the Philosophy of Mind","1987-01-01","https://openalex.org/A2180580011",NA,NA
"6084","https://openalex.org/W2147915364","IS CAPITAL PUNISHMENT MORALLY REQUIRED? ACTS, OMISSIONS, AND LIFE-LIFE TRADEOFFS","2005-12-01","https://openalex.org/A1721802016","0038-9765","Stanford Law Review"
