"","id","Label"
"110","https://openalex.org/A2107071133","Jeremy Horder"
"111","https://openalex.org/A3094160981","Paulina Nowak-Korcz"
"112","https://openalex.org/A1993674547","Lubomira V. Radoilska"
"113","https://openalex.org/A202462962","Emanuela Ceva"
"114","https://openalex.org/A3133993011","Cheng Le"
"115","https://openalex.org/A2123969056","C<e9>cile Laborde"
"116","https://openalex.org/A2555859626","Jeremy Waldron"
"117","https://openalex.org/A2951049974","David Miller"
"118","https://openalex.org/A2171577416","Jonathan Quong"
"119","https://openalex.org/A3134425268","Juliette Scott"
"120","https://openalex.org/A3135580577","John O<U+0092>Shea"
"121","https://openalex.org/A2131710136","Massimo Leone"
"122","https://openalex.org/A2952333918","Khaldoun S. Qtiashat"
"123","https://openalex.org/A2949524809","Ali K. Qtaishat"
"124","https://openalex.org/A3190886435","Garcia Blesa"
"125","https://openalex.org/A3190433977","J Juan"
"126","https://openalex.org/A1965271538","Izabela Skocze<f1>"
"127","https://openalex.org/A2662197694","Gabriele Marino"
"128","https://openalex.org/A3005542175","Xitao Hu"
"129","https://openalex.org/A2894934526","Daniel Leisser"
"130","https://openalex.org/A3127921578","Katie Bray"
"131","https://openalex.org/A3127803138","Anaruth Hern<e1>ndez"
"132","https://openalex.org/A3127017926","Doha Nasr"
"133","https://openalex.org/A3003360613","Sergey P. Khizhnyak"
"134","https://openalex.org/A3128344382","Viktoria G. Annenkova"
"135","https://openalex.org/A3094614328","Fei Xie"
"136","https://openalex.org/A2429445430","Patrick Lee"
"137","https://openalex.org/A2903295015","Robert P. George"
"138","https://openalex.org/A2599194942","Robert Alexy"
"139","https://openalex.org/A2481945487","Ralf Dreier"
"140","https://openalex.org/A2915690101","Jenny Ponzo"
"141","https://openalex.org/A2906378385","Mary Catherine Lavissiere"
"142","https://openalex.org/A2501815845","Malte Rosemeyer"
"143","https://openalex.org/A2895701747","Luke Green"
"144","https://openalex.org/A2921082947","Sofia Alexopoulou"
"145","https://openalex.org/A2922023110","Antonia Pavli"
"146","https://openalex.org/A123494478","Stefan Machura"
"147","https://openalex.org/A2931919384","Olga Litvinova"
"148","https://openalex.org/A2628431755","Peter Robson"
"149","https://openalex.org/A2158019480","John Martin Fischer"
"150","https://openalex.org/A2103845374","Matthias Klatt"
"151","https://openalex.org/A185450593","George Klosko"
"152","https://openalex.org/A2219170033","Halina Sierocka"
"153","https://openalex.org/A2494733737","Brian Flanagan"
"154","https://openalex.org/A2784163219","Jan Go<U+009C>ci<f1>ski"
"155","https://openalex.org/A2030780431","Artur Dariusz Kubacki"
"156","https://openalex.org/A2591374689","Angela Condello"
"157","https://openalex.org/A1957352506","Frank Zenker"
"158","https://openalex.org/A2196539794","Shachar Eldar"
"159","https://openalex.org/A1957580206","Kamil Zeidler"
"160","https://openalex.org/A2975187695","Magdalena <U+00A3><U+00B9>giewska"
"161","https://openalex.org/A2087825661","Kjartan Koch Mikalsen"
"162","https://openalex.org/A3089224456","Margarete Fl<f6>ter-Durr"
"163","https://openalex.org/A2767714516","Dario Henri Haux"
"164","https://openalex.org/A2795889790","Antoinette Maget Dominic<e9>"
"165","https://openalex.org/A3092122832","Jana Alexandra Raspotnig"
"166","https://openalex.org/A9370795","M<e1>t<e9> Paksy"
"167","https://openalex.org/A3081517065","Mikl<f3>s Szab<f3>"
"168","https://openalex.org/A3002616887","Edina Vinnai"
"169","https://openalex.org/A1669529632","Anna Piszcz"
"170","https://openalex.org/A213387416","Sigita Rackevi<e8>iene"
"171","https://openalex.org/A2588585126","Liudmila Mockiene"
"172","https://openalex.org/A2944869961","Olgierd Bogucki"
"173","https://openalex.org/A2437087323","R. A. Duff"
"174","https://openalex.org/A2121689748","Fran<e7>ois Schroeter"
"175","https://openalex.org/A2106973771","Laura Schroeter"
"176","https://openalex.org/A2108452687","Kevin Toh"
"177","https://openalex.org/A3079724416","Justine Iscah F. Madrilejos"
"178","https://openalex.org/A2914156522","Rachelle Ballesteros-Lintao"
"179","https://openalex.org/A1259395935","Ralf Poscher"
"180","https://openalex.org/A756971040","Anna Doliwa-Klepacka"
"181","https://openalex.org/A3005232758","Mieczys<U+00B3>awa Zdanowicz"
"182","https://openalex.org/A197602260","Giovanni Tuzet"
"183","https://openalex.org/A2254801360","Paul Billingham"
"184","https://openalex.org/A303459901","Bruce A. Arrigo"
"185","https://openalex.org/A3082343882","Brian G. Sellers"
"186","https://openalex.org/A3020945403","Jo Sostakas"
"187","https://openalex.org/A3027951688","Esther Monz<f3>-Nebot"
"188","https://openalex.org/A3126390053","Javier Moreno-Rivero"
"189","https://openalex.org/A3034967331","Stearns Broadhead"
"190","https://openalex.org/A3029589537","Lyn Ellison"
"191","https://openalex.org/A1972307594","Natalia Szablewska"
"192","https://openalex.org/A2464489842","Alfonso Insuasty Rodr<ed>guez"
"193","https://openalex.org/A3168266365","Alejandro Zuluaga Cometa"
"194","https://openalex.org/A2983212017","Diana Marcela Palechor Ordonez"
"195","https://openalex.org/A2134311192","Juan David Villa G<f3>mez"
"196","https://openalex.org/A2985502555","Vanessa Mar<ed>n Caro"
"197","https://openalex.org/A2735383495","Luisa Fernanda Zapata <c1>lvarez"
"198","https://openalex.org/A3028440790","Thiago Dias Silva"
"199","https://openalex.org/A3028451256","Luciana Duarte Oliveira"
"200","https://openalex.org/A2634435675","Alcides Francisco Ant<fa>nez S<e1>nchez"
"201","https://openalex.org/A2618514299","<c1>ngela Mar<ed>a G<f3>mez Osorio"
"202","https://openalex.org/A2781997265","Juan Pablo Jaramillo Rico"
"203","https://openalex.org/A2595415689","Hugo Nelson Castaneda Ruiz"
"204","https://openalex.org/A3009984014","Luis Eduardo G<f3>mez Londono"
"205","https://openalex.org/A2781734432","Martha Luc<ed>a Correa Rold<e1>n"
"206","https://openalex.org/A3022439966","Nancy Estella Grajales Montoya"
"207","https://openalex.org/A2781609953","Natalia Baena Robledo"
"208","https://openalex.org/A2482661141","Mayda Soraya Mar<ed>n Galeano"
"209","https://openalex.org/A3022639596","Mar<ed>a Camila Estrada G<f3>mez"
"210","https://openalex.org/A2512179654","Jos<e9> Javier Capera Figueroa"
"211","https://openalex.org/A2781788885","Juan David Gelacio Panesso"
"212","https://openalex.org/A3023266819","Juan Camilo Duque Torres"
"213","https://openalex.org/A2041782831","Micah Schwartzman"
"214","https://openalex.org/A2970731680","Eiji Taira"
"215","https://openalex.org/A2970526901","Shizuka Itagaki"
"216","https://openalex.org/A2969510932","Yuki Horie"
"217","https://openalex.org/A2969414440","B<e9>atrice Crane-Miko<U+00B3>ajczyk"
"218","https://openalex.org/A2098144584","Richard Powell"
"219","https://openalex.org/A2125148735","Mami Hiraike Okawara"
"220","https://openalex.org/A2966090446","Hajime Nishiguchi"
"221","https://openalex.org/A2918485593","Hideyuki Kumaki"
"222","https://openalex.org/A1825028087","Ikuko Nakane"
"223","https://openalex.org/A2915581014","Makiko Mizuno"
"224","https://openalex.org/A2137703571","Manuel Atienza"
"225","https://openalex.org/A42706321","Piotr W. Juchacz"
"226","https://openalex.org/A1983749965","Jeffrey Goldsworthy"
"227","https://openalex.org/A3194136145","de Matos"
"228","https://openalex.org/A3193462664","Saulo Monteiro Martinho"
"229","https://openalex.org/A2156365688","Christopher Bennett"
