X.2,X.1,item,id,display_name,ror,country_code,type,X,group
52,118,https://openalex.org/W2522640911,https://openalex.org/I157725225,University of Illinois Urbana-Champaign,https://ror.org/047426m28,US,education,NA,NA
53,119,https://openalex.org/W2522640911,https://openalex.org/I27837315,University of Michigan–Ann Arbor,https://ror.org/00jmfr291,US,education,NA,NA
54,120,https://openalex.org/W3121828640,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey",https://ror.org/05vt9qd57,US,education,NA,NA
55,121,https://openalex.org/W2172106358,https://openalex.org/I204824540,University of Wollongong,https://ror.org/00jtmb277,AU,education,NA,NA
56,122,https://openalex.org/W2151067817,https://openalex.org/I136199984,Harvard University,https://ror.org/03vek6s52,US,education,NA,NA
57,123,https://openalex.org/W2151067817,https://openalex.org/I188538660,University of Colorado Boulder,https://ror.org/02ttsq026,US,education,NA,NA
58,124,https://openalex.org/W3125259036,https://openalex.org/I51556381,University of Virginia,https://ror.org/0153tk833,US,education,NA,NA
59,128,https://openalex.org/W162186689,https://openalex.org/I900890020,University of Palermo,https://ror.org/044k9ta02,IT,education,NA,NA
60,129,https://openalex.org/W2068516104,https://openalex.org/I57206974,New York University,https://ror.org/0190ak572,US,education,NA,NA
61,130,https://openalex.org/W2041016410,https://openalex.org/I84222299,Debevoise & Plimpton,NA,US,NA,NA,NA
62,131,https://openalex.org/W3123863113,https://openalex.org/I197251160,Hebrew University of Jerusalem,https://ror.org/03qxff017,IL,education,NA,NA
63,132,https://openalex.org/W2013267487,https://openalex.org/I193662353,Utrecht University,https://ror.org/04pp8hn57,NL,education,NA,NA
64,133,https://openalex.org/W2013267487,https://openalex.org/I121797337,Leiden University,https://ror.org/027bh9e22,NL,education,NA,NA
65,136,https://openalex.org/W2088811804,https://openalex.org/I205783295,Cornell University,https://ror.org/05bnh6r87,US,education,NA,NA
66,137,https://openalex.org/W3124337551,https://openalex.org/I41156924,Victoria University of Wellington,https://ror.org/0040r6f76,NZ,education,NA,NA
67,138,https://openalex.org/W2102389070,https://openalex.org/I103635307,"University of California, Riverside",https://ror.org/03nawhv43,US,education,NA,NA
68,139,https://openalex.org/W2076011843,https://openalex.org/I125749732,Western University,https://ror.org/02grkyz14,CA,education,NA,NA
69,140,https://openalex.org/W3121890212,https://openalex.org/I17301866,University of Alabama,https://ror.org/03xrrjk67,US,education,NA,NA
70,141,https://openalex.org/W3121890212,NA,Northwestern School of Law,NA,NA,NA,NA,NA
71,143,https://openalex.org/W2129464959,https://openalex.org/I1299303238,National Institutes of Health,https://ror.org/01cwqze88,US,government,NA,NA
72,144,https://openalex.org/W3124325979,NA,Re’em Segev,NA,NA,NA,NA,NA
73,145,https://openalex.org/W1574666436,https://openalex.org/I160856358,University of San Diego,https://ror.org/03jbbze48,US,education,NA,NA
75,147,https://openalex.org/W3124103069,https://openalex.org/I143302722,University of Kentucky,https://ror.org/02k3smh20,US,education,NA,NA
76,148,https://openalex.org/W1967891960,https://openalex.org/I160856358,University of San Diego,https://ror.org/03jbbze48,US,education,NA,NA
77,150,https://openalex.org/W1997545782,https://openalex.org/I1174212,University of Southern California,https://ror.org/03taz7m60,US,education,NA,NA
78,156,https://openalex.org/W1966254084,https://openalex.org/I98677209,University of Edinburgh,https://ror.org/01nrxwf90,GB,education,NA,NA
79,158,https://openalex.org/W2028739023,https://openalex.org/I166139236,Balliol College,NA,GB,NA,NA,NA
80,162,https://openalex.org/W2163952065,https://openalex.org/I20581793,University of Kent,https://ror.org/00xkeyj56,GB,education,NA,NA
81,176,https://openalex.org/W1974448158,https://openalex.org/I27837315,University of Michigan–Ann Arbor,https://ror.org/00jmfr291,US,education,NA,NA
82,178,https://openalex.org/W2170244904,https://openalex.org/I66946132,"University of Maryland, College Park",https://ror.org/047s2c258,US,education,NA,NA
83,179,https://openalex.org/W3124988724,https://openalex.org/I17301866,University of Alabama,https://ror.org/03xrrjk67,US,education,NA,NA
84,180,https://openalex.org/W2023757964,https://openalex.org/I241749,University of Cambridge,https://ror.org/013meh722,GB,education,NA,NA
85,181,https://openalex.org/W3121990328,https://openalex.org/I909854389,London School of Economics and Political Science,https://ror.org/0090zs177,GB,education,NA,NA
86,183,https://openalex.org/W2167187158,https://openalex.org/I142823887,St. John's University,https://ror.org/00bgtad15,US,education,NA,NA
87,185,https://openalex.org/W2138293185,https://openalex.org/I40120149,University of Oxford,https://ror.org/052gg0110,GB,education,NA,NA
88,186,https://openalex.org/W2160361145,https://openalex.org/I66946132,"University of Maryland, College Park",https://ror.org/047s2c258,US,education,NA,NA
89,187,https://openalex.org/W1968000461,https://openalex.org/I1327163397,State University of New York,https://ror.org/01q1z8k08,US,education,NA,NA
90,188,https://openalex.org/W2054237219,https://openalex.org/I57206974,New York University,https://ror.org/0190ak572,US,education,NA,NA
91,189,https://openalex.org/W2148767016,https://openalex.org/I36258959,"University of California, San Diego",https://ror.org/0168r3w48,US,education,NA,NA
92,190,https://openalex.org/W3125668854,https://openalex.org/I79576946,University of Pennsylvania,https://ror.org/00b30xv10,US,education,NA,NA
93,191,https://openalex.org/W3125668854,https://openalex.org/I78577930,Columbia University,https://ror.org/00hj8s172,US,education,NA,NA
94,192,https://openalex.org/W1967124739,https://openalex.org/I160856358,University of San Diego,https://ror.org/03jbbze48,US,education,NA,NA
95,216,https://openalex.org/W2586636145,NA,"School of Politics, Philosophy, Language and Communication Studies",NA,NA,NA,NA,NA
96,217,https://openalex.org/W2493880947,NA,Legal Theory and Legal History,NA,NA,NA,NA,NA
97,218,https://openalex.org/W2490623621,NA,"School of Politics, Philosophy, Language and Communication Studies",NA,NA,NA,NA,NA
98,221,https://openalex.org/W2586820871,NA,Laws,NA,NA,NA,NA,NA
99,222,https://openalex.org/W3123387107,NA,Private and Commercial Law,NA,NA,NA,NA,NA
100,223,https://openalex.org/W3123735750,https://openalex.org/I192455969,York University,https://ror.org/05fq50484,CA,education,NA,NA
101,224,https://openalex.org/W2497275013,NA,Faculty of Law,NA,NA,NA,NA,NA
102,225,https://openalex.org/W3125232704,NA,Laws,NA,NA,NA,NA,NA
103,227,https://openalex.org/W2289547698,NA,Private and Commercial Law,NA,NA,NA,NA,NA
104,228,https://openalex.org/W2506960671,NA,Laws,NA,NA,NA,NA,NA
105,230,https://openalex.org/W3125463881,NA,Laws,NA,NA,NA,NA,NA
106,232,https://openalex.org/W3124373949,https://openalex.org/I130828816,University of Leeds,https://ror.org/024mrxd33,GB,education,NA,NA
107,233,https://openalex.org/W3124778984,NA,School of Law,NA,NA,NA,NA,NA
108,235,https://openalex.org/W3123691632,https://openalex.org/I95457486,"University of California, Berkeley",https://ror.org/01an7q238,US,education,NA,NA
109,236,https://openalex.org/W2199425323,NA,Philosophy (Twin Cities),NA,NA,NA,NA,NA
110,237,https://openalex.org/W2500852618,NA,Academics (Law),NA,NA,NA,NA,NA
111,238,https://openalex.org/W1581719355,https://openalex.org/I149744451,Valparaiso University,https://ror.org/01pp0fx48,US,education,NA,NA
112,241,https://openalex.org/W3124496209,https://openalex.org/I125749732,Western University,https://ror.org/02grkyz14,CA,education,NA,NA
113,246,https://openalex.org/W2502979015,NA,Philosophy (Twin Cities),NA,NA,NA,NA,NA
114,255,https://openalex.org/W2300145471,NA,"Philosophy of Freedom, Center for",NA,NA,NA,NA,NA
115,257,https://openalex.org/W3124466394,https://openalex.org/I107639228,University of Notre Dame,https://ror.org/00mkhxb43,US,education,NA,NA
116,259,https://openalex.org/W2049584951,https://openalex.org/I107639228,University of Notre Dame,https://ror.org/00mkhxb43,US,education,NA,NA
