"","item","position","id","name","X"
"1","https://openalex.org/W3195487977","first","https://openalex.org/A2499175000","Eduardo Andrés Sandoval Forero",NA
"2","https://openalex.org/W3195487977","last","https://openalex.org/A2512179654","José Javier Capera Figueroa",NA
"3","https://openalex.org/W3217535967","first","https://openalex.org/A2324782922","Victor Nikiforovich Sidorov",NA
"4","https://openalex.org/W3217535967","last","https://openalex.org/A1968884417","Elena Victorovna Sidorova",NA
"5","https://openalex.org/W3195748734","first","https://openalex.org/A3194148429","César Augusto Costa",NA
"6","https://openalex.org/W3194615489","first","https://openalex.org/A3195108506","Ana Margarita Carmona Tamayo",NA
"7","https://openalex.org/W3194615489","last","https://openalex.org/A3195501356","Juan José Gómez Betancur",NA
"8","https://openalex.org/W3195905401","first","https://openalex.org/A2209810778","José Fernando Valencia Grajales",NA
"9","https://openalex.org/W3195905401","middle","https://openalex.org/A2482661141","Mayda Soraya Marín Galeano",NA
"10","https://openalex.org/W3195905401","last","https://openalex.org/A3195824885","Juan Carlos Beltrán López",NA
"11","https://openalex.org/W3193823813","first","https://openalex.org/A3194592862","Rosmery Janet Villavicencio Heredia",NA
"12","https://openalex.org/W3194172055","first","https://openalex.org/A3009126107","Lucas Menéndez Conca",NA
"13","https://openalex.org/W3194181442","first","https://openalex.org/A3194649405","Manuela Betancur Morales",NA
"14","https://openalex.org/W3195908097","first","https://openalex.org/A3193646813","Jonatán Alexis Agudelo Bran",NA
"15","https://openalex.org/W3193961643","first","https://openalex.org/A3194725604","Maria Muriel Ríos",NA
"16","https://openalex.org/W3195276780","first","https://openalex.org/A3195005357","Juliana Ramírez Rojas",NA
"17","https://openalex.org/W3193844173","first","https://openalex.org/A3194761351","Alexis Peña Fernández",NA
"18","https://openalex.org/W3195583762","first","https://openalex.org/A3195070249","Yevhen Leheza",NA
"19","https://openalex.org/W3195583762","middle","https://openalex.org/A3193479066","Iryna Odyntsova.",NA
"20","https://openalex.org/W3195583762","last","https://openalex.org/A3194055744","Natalia Dmytrenko.",NA
"21","https://openalex.org/W3194218506","first","https://openalex.org/A3194500054","Andrea Gómez Muñoz",NA
"22","https://openalex.org/W3194854639","first","https://openalex.org/A2062048554","Edison Villa Holguín",NA
"23","https://openalex.org/W3194534646","first","https://openalex.org/A3193706142","Ricardo Sanín Restrepo",NA
"24","https://openalex.org/W3193729848","first","https://openalex.org/A3194179474","William Felipe Angulo Bechara",NA
"25","https://openalex.org/W3193862880","first","https://openalex.org/A3193927211","Juan Camilo Parra Restrepo",NA
"26","https://openalex.org/W2937665400","first","https://openalex.org/A2937232405","Mariño Baracaldo",NA
"27","https://openalex.org/W2937665400","last","https://openalex.org/A2935969784","Paula Daniela",NA
"28","https://openalex.org/W3193513811","first","https://openalex.org/A3194597137","Sandra Milena Muñoz Cañas",NA
"29","https://openalex.org/W3193788114","first","https://openalex.org/A2143671311","Andrés Felipe Roncancio Bedoya",NA
"30","https://openalex.org/W3193788114","middle","https://openalex.org/A3194897913","Santiago Colorado Villa",NA
"31","https://openalex.org/W3193788114","last","https://openalex.org/A3188801819","John Fernando Restrepo Tamayo",NA
"32","https://openalex.org/W3193886709","first","https://openalex.org/A3193693660","Valeria Santis Vellojín",NA
"33","https://openalex.org/W3193886709","last","https://openalex.org/A3165544595","Clara María Mira González",NA
"34","https://openalex.org/W3194751902","first","https://openalex.org/A3195108563","Lisandro Andrés Cárdenas Carrero",NA
"35","https://openalex.org/W3194751902","last","https://openalex.org/A3010301644","José Alonso Andrade Salazar",NA
"36","https://openalex.org/W3195356025","first","https://openalex.org/A3195011126","Gustavo Adolfo Beltran Valencia",NA
"37","https://openalex.org/W3196034974","first","https://openalex.org/A3195378085","Oscar Hernando Cadena Chicunque",NA
"38","https://openalex.org/W3193985075","first","https://openalex.org/A3193426447","Ledy Torcoroma Gómez Bayona",NA
"39","https://openalex.org/W3193985075","last","https://openalex.org/A3194841244","Andrea Granda Saavedra",NA
"40","https://openalex.org/W3194975092","first","https://openalex.org/A2520194333","Carlos Alberto Zárate Yepes",NA
"41","https://openalex.org/W3194975092","middle","https://openalex.org/A3193654622","Natalia López Loaiza",NA
"42","https://openalex.org/W3194975092","middle","https://openalex.org/A3195649237","Sandra M. López Loaiza",NA
"43","https://openalex.org/W3194975092","last","https://openalex.org/A2595415689","Hugo Nelson Castañeda Ruiz",NA
"44","https://openalex.org/W3195936136","first","https://openalex.org/A2781788885","Juan David Gelacio Panesso",NA
"45","https://openalex.org/W3216537100","first","https://openalex.org/A1968884417","Elena Victorovna Sidorova",NA
"46","https://openalex.org/W3216537100","last","https://openalex.org/A2324782922","Victor Nikiforovich Sidorov",NA
"47","https://openalex.org/W3019650076","first","https://openalex.org/A2651708713","Andreas Eriksen",NA
"48","https://openalex.org/W3081913404","first","https://openalex.org/A3147620607","Anyuli Margarita-Ospina",NA
"49","https://openalex.org/W3087759116","first","https://openalex.org/A3087001969","Jose Fernando Valencia-Grajales",NA
"50","https://openalex.org/W3087759116","last","https://openalex.org/A3087281491","Mayda Soraya Marin-Galeano",NA
"51","https://openalex.org/W2998047840","first","https://openalex.org/A2599194942","Robert Alexy",NA
"52","https://openalex.org/W2954004913","first","https://openalex.org/A2654458079","David Frydrych",NA
