item,position,id,name
https://openalex.org/W2939408979,first,https://openalex.org/A1767588344,Andrea Faggion
https://openalex.org/W3093247768,first,https://openalex.org/A2087825661,Kjartan Koch Mikalsen
https://openalex.org/W3092667227,first,https://openalex.org/A3132161260,Jan-Reinard Sieckmann
https://openalex.org/W3093356250,first,https://openalex.org/A2599194942,Robert Alexy
https://openalex.org/W3046515448,first,https://openalex.org/A2632607476,Giulio Itzcovich
https://openalex.org/W3045598791,first,https://openalex.org/A2108599915,Pablo Marshall
https://openalex.org/W2995806361,first,https://openalex.org/A1735992902,Vesco Paskalev
https://openalex.org/W3009134116,first,https://openalex.org/A3009940941,Kara Woodbury‐Smith
https://openalex.org/W3012846456,first,https://openalex.org/A1259395935,Ralf Poscher
https://openalex.org/W3123733585,first,https://openalex.org/A1935836612,Martijn W. Hesselink
https://openalex.org/W2940206645,first,https://openalex.org/A2209841875,Torben Spaak
https://openalex.org/W3035238415,first,https://openalex.org/A2299326928,Brian H. Bix
https://openalex.org/W3023004600,first,https://openalex.org/A2781788885,Juan David Gelacio Panesso
https://openalex.org/W3023004600,last,https://openalex.org/A3023266819,Juan Camilo Duque Torres
https://openalex.org/W3018477538,first,https://openalex.org/A2732682447,Mario García Berger
https://openalex.org/W3019650076,first,https://openalex.org/A2651708713,Andreas Eriksen
https://openalex.org/W3020047788,first,https://openalex.org/A2662475345,Bjarte Askeland
https://openalex.org/W3017726584,first,https://openalex.org/A2409490713,Arkadiusz Górnisiewicz
https://openalex.org/W3019129997,first,https://openalex.org/A2496437603,Peter Koller
https://openalex.org/W3020278313,first,https://openalex.org/A2103456640,Benjamin Gregg
https://openalex.org/W3019224220,first,https://openalex.org/A2528232832,Massimo La Torre
https://openalex.org/W3084516069,first,https://openalex.org/A3209369434,Dany Steven Gómez-Agudelo
https://openalex.org/W3081913404,first,https://openalex.org/A3147620607,Anyuli Margarita-Ospina
https://openalex.org/W3087759116,first,https://openalex.org/A3087001969,Jose Fernando Valencia-Grajales
https://openalex.org/W3087759116,last,https://openalex.org/A3087281491,Mayda Soraya Marin-Galeano
https://openalex.org/W3081045439,first,https://openalex.org/A2753470994,Efraín Alzate Salazar
https://openalex.org/W3008985172,first,https://openalex.org/A2913766811,José Gerardo Bustamante Morales
https://openalex.org/W3009135849,first,https://openalex.org/A3009508296,Ana Cristina González Rincón
https://openalex.org/W3009107827,first,https://openalex.org/A3009934500,Rubén Darío Zapata Yepes
https://openalex.org/W3021850975,first,https://openalex.org/A2512179654,José Javier Capera Figueroa
https://openalex.org/W3009115931,first,https://openalex.org/A3010258243,Carlos Alfonso Ortiz Lancheros
https://openalex.org/W3007425254,first,https://openalex.org/A3007785211,Dayara Garcia Ruiz
https://openalex.org/W3010005840,first,https://openalex.org/A3009133867,Digno José Montalván Zambrano
https://openalex.org/W3010609175,first,https://openalex.org/A2482661141,Mayda Soraya Marín Galeano
https://openalex.org/W3010609175,last,https://openalex.org/A3022639596,María Camila Estrada Gómez
https://openalex.org/W3010468299,first,https://openalex.org/A2618514299,Ángela María Gómez Osorio
https://openalex.org/W3010468299,middle,https://openalex.org/A2781997265,Juan Pablo Jaramillo Rico
https://openalex.org/W3010468299,middle,https://openalex.org/A2595415689,Hugo Nelson Castañeda Ruiz
https://openalex.org/W3010468299,middle,https://openalex.org/A3009984014,Luis Eduardo Gómez Londoño
https://openalex.org/W3010468299,middle,https://openalex.org/A2781734432,Martha Lucía Correa Roldán
https://openalex.org/W3010468299,middle,https://openalex.org/A3022439966,Nancy Estella Grajales Montoya
https://openalex.org/W3010468299,last,https://openalex.org/A2781609953,Natalia Baena Robledo
https://openalex.org/W3010140113,first,https://openalex.org/A3010301644,José Alonso Andrade Salazar
https://openalex.org/W2997945507,first,https://openalex.org/A1947077051,Sanne Taekema
https://openalex.org/W3021944538,first,https://openalex.org/A3022630552,André Luiz Pereira Spinieli
https://openalex.org/W2997117290,first,https://openalex.org/A2565481648,Mauro Zamboni
https://openalex.org/W2998294723,first,https://openalex.org/A2106290796,Julia Eckert
https://openalex.org/W3008623029,first,https://openalex.org/A3007098010,Mary Sol Narváez Castro
https://openalex.org/W2998573253,first,https://openalex.org/A2997331731,Benjamin L. S. Nelson
https://openalex.org/W2997583786,first,https://openalex.org/A2038743205,Roger Cotterrell
https://openalex.org/W2998047840,first,https://openalex.org/A2599194942,Robert Alexy
https://openalex.org/W2969493271,first,https://openalex.org/A2591299300,Stephen Riley
https://openalex.org/W2998571529,first,https://openalex.org/A2401011458,Malcolm Thorburn
https://openalex.org/W3006959127,first,https://openalex.org/A3006991098,Francisco Ávila Coronel
https://openalex.org/W2954004913,first,https://openalex.org/A2654458079,David Frydrych
https://openalex.org/W2998038112,first,https://openalex.org/A2997066605,Tony Reeves
https://openalex.org/W2988719951,first,https://openalex.org/A2612564473,Mario Rojas Hernández
https://openalex.org/W3027215793,first,https://openalex.org/A3028440790,Thiago Dias Silva
https://openalex.org/W3027215793,last,https://openalex.org/A3028451256,Luciana Duarte Oliveira
https://openalex.org/W2986546010,first,https://openalex.org/A2789546975,Pedro Luis Pemberthy López
https://openalex.org/W2987905900,first,https://openalex.org/A2634435675,Alcides Francisco Antúnez Sánchez
https://openalex.org/W2986931569,first,https://openalex.org/A2982753157,Wilson de Jesús Mazo Gómez
https://openalex.org/W2984379590,first,https://openalex.org/A2062048554,Edison Villa Holguín
https://openalex.org/W2985390600,first,https://openalex.org/A2985869900,Manuel Beltrán Espitia
https://openalex.org/W2985649972,first,https://openalex.org/A2987248554,Camilo Giraldo Giraldo
https://openalex.org/W2989211992,first,https://openalex.org/A2643698481,Milagros Elena Rodríguez
https://openalex.org/W2985633887,first,https://openalex.org/A2987415854,Jennifer Henao Jaramillo
https://openalex.org/W2987685290,first,https://openalex.org/A2988956009,Vanessa Garzón
https://openalex.org/W2989396353,first,https://openalex.org/A2134311192,Juan David Villa Gómez
https://openalex.org/W2989396353,middle,https://openalex.org/A2985502555,Vanessa Marín Caro
https://openalex.org/W2989396353,last,https://openalex.org/A2735383495,Luisa Fernanda Zapata Álvarez
https://openalex.org/W2969654174,first,https://openalex.org/A2493254835,Mark McBride
https://openalex.org/W2929995626,first,https://openalex.org/A2313833483,Alain Zysset
https://openalex.org/W2969305865,first,https://openalex.org/A2969718370,Luise K. Müller
https://openalex.org/W2969746413,first,https://openalex.org/A2618206562,Leonard Hoeft
https://openalex.org/W2969356120,first,https://openalex.org/A2716742613,Kenneth S. Gallant
https://openalex.org/W2969851372,first,https://openalex.org/A3175111672,Frank Lovett
https://openalex.org/W2947040082,first,https://openalex.org/A2198022894,Govert den Hartogh
https://openalex.org/W2912561730,first,https://openalex.org/A2068060820,Kim Angell
https://openalex.org/W2912561730,last,https://openalex.org/A1933728806,Robert Huseby
https://openalex.org/W2927748643,first,https://openalex.org/A2970917031,Felipe Jiménez
https://openalex.org/W2947080531,first,https://openalex.org/A2317604004,Re'em Segev
https://openalex.org/W2947640362,first,https://openalex.org/A2635423038,Alessandra Facchi
https://openalex.org/W2916706193,first,https://openalex.org/A1415037023,Brian Rosebury
https://openalex.org/W2916423802,first,https://openalex.org/A800453869,Ekow N. Yankah
https://openalex.org/W2939211168,first,https://openalex.org/A2734780412,Horacio Spector
https://openalex.org/W2789846730,first,https://openalex.org/A3132448006,Annalisa Verza
https://openalex.org/W2916017236,first,https://openalex.org/A2914273153,Miguel Angel Garcia-Godinez
https://openalex.org/W2916066237,first,https://openalex.org/A2791587090,Jakob Huber
https://openalex.org/W2919578756,first,https://openalex.org/A2404998681,Jörg Tremmel
https://openalex.org/W2987388530,first,https://openalex.org/A3028440790,Thiago Dias Silva
https://openalex.org/W2987388530,last,https://openalex.org/A3028451256,Luciana Duarte Oliveira
https://openalex.org/W2988638727,first,https://openalex.org/A2464489842,Alfonso Insuasty Rodríguez
https://openalex.org/W2988638727,middle,https://openalex.org/A3168266365,Alejandro Zuluaga Cometa
https://openalex.org/W2988638727,last,https://openalex.org/A2983212017,Diana Marcela Palechor Ordoñez
https://openalex.org/W2936149550,first,https://openalex.org/A3010258243,Carlos Alfonso Ortiz Lancheros
https://openalex.org/W2936870863,first,https://openalex.org/A2936534272,Carlos Darío Patiño
https://openalex.org/W2936870863,middle,https://openalex.org/A2937920684,Luisa F. Duque
https://openalex.org/W2936870863,last,https://openalex.org/A2937719153,Juan Pablo Gómez Medina
https://openalex.org/W2939958501,first,https://openalex.org/A2940010518,Iván Mauricio Sánchez Díaz
https://openalex.org/W2938495589,first,https://openalex.org/A2770700453,Saúl Uribe García
https://openalex.org/W2937386811,first,https://openalex.org/A2464489842,Alfonso Insuasty Rodríguez
https://openalex.org/W2937386811,middle,https://openalex.org/A2938341353,Fabián Alirio Mazo Elorza
https://openalex.org/W2937386811,last,https://openalex.org/A2939164131,Ángel Rodrigo Vélez
https://openalex.org/W2936185923,first,https://openalex.org/A2940003833,Frank Mejía Guzmán
https://openalex.org/W2936676888,first,https://openalex.org/A2939880992,María Botero Mesa
https://openalex.org/W2895468006,first,https://openalex.org/A2760123433,Ismael Cáceres-Correa
https://openalex.org/W2895468006,last,https://openalex.org/A2512179654,José Javier Capera Figueroa
https://openalex.org/W2939020773,first,https://openalex.org/A2512179654,José Javier Capera Figueroa
https://openalex.org/W2936681798,first,https://openalex.org/A1974714425,Francisco Alberto Pérez Piñón
https://openalex.org/W2936681798,middle,https://openalex.org/A2140476521,Guillermo Hernández Orozco
https://openalex.org/W2936681798,last,https://openalex.org/A2101442026,Jesús Adolfo Trujillo Holguín
https://openalex.org/W2940057274,first,https://openalex.org/A2499175000,Eduardo Andrés Sandoval Forero
https://openalex.org/W2940057274,last,https://openalex.org/A2512179654,José Javier Capera Figueroa
https://openalex.org/W2938676652,first,https://openalex.org/A2209810778,José Fernando Valencia Grajales
https://openalex.org/W2938676652,last,https://openalex.org/A2482661141,Mayda Soraya Marín Galeano
https://openalex.org/W2900473969,first,https://openalex.org/A2201576805,Matthew H. Kramer
https://openalex.org/W2940913356,first,https://openalex.org/A2493254835,Mark McBride
https://openalex.org/W2915458208,first,https://openalex.org/A2302862813,Frank I. Michelman
https://openalex.org/W2900557461,first,https://openalex.org/A2765238786,Dimitris Tsarapatsanis
https://openalex.org/W2901961196,first,https://openalex.org/A2901714408,Fabio Macioce
https://openalex.org/W2942725941,first,https://openalex.org/A2677969044,Werner Krawietz
https://openalex.org/W2943439527,first,https://openalex.org/A2943822598,Paul Troop
https://openalex.org/W2890829782,first,https://openalex.org/A2891945117,Yennesit Palacios Valencia
https://openalex.org/W2890829782,middle,https://openalex.org/A2891191200,Ángela Cecilia González
https://openalex.org/W2890829782,last,https://openalex.org/A2891333282,Diego Monsalve Builes
https://openalex.org/W2892313107,first,https://openalex.org/A2889805630,Diana Lopera Montoya
https://openalex.org/W2892313107,last,https://openalex.org/A2890140134,Ricardo Andrés Gutiérrez García
https://openalex.org/W2892058904,first,https://openalex.org/A2890213833,María Isabel Villada
https://openalex.org/W2892058904,last,https://openalex.org/A2889607178,Juan Camilo Estrada
https://openalex.org/W2892089733,first,https://openalex.org/A2892094144,Cícero José Alves Soares Neto
https://openalex.org/W2892043024,first,https://openalex.org/A2890656603,Erika Paulina Uribe Cardona
https://openalex.org/W2891424352,first,https://openalex.org/A2890812525,Sonia Elena López Pulgarín
https://openalex.org/W2891367153,first,https://openalex.org/A2890880886,Yovanny Biancardy Álvarez Ossa
https://openalex.org/W2891982743,first,https://openalex.org/A2890673258,Aura Smid Durán Téllez
https://openalex.org/W2891298915,first,https://openalex.org/A2891485821,Raquel Rocha de Queiroz e Sousa
https://openalex.org/W2891298915,last,https://openalex.org/A2891544203,Andrey da Silva Brugger
https://openalex.org/W2891118920,first,https://openalex.org/A2890524087,Miguel Ángel Salazar Durango
https://openalex.org/W2889725138,first,https://openalex.org/A2890637867,Angie Lorena Fontecha
https://openalex.org/W2889725138,middle,https://openalex.org/A2889814220,Pilar López Ruiz
https://openalex.org/W2889725138,middle,https://openalex.org/A3120509359,Mónica Gómez
https://openalex.org/W2889725138,middle,https://openalex.org/A2891422739,Lizette A. Mendoza
https://openalex.org/W2889725138,last,https://openalex.org/A2892350662,Édgar Giovanni Rodríguez
https://openalex.org/W2891992633,first,https://openalex.org/A2892039932,Revista Ratio Juris
https://openalex.org/W2890145251,first,https://openalex.org/A2891655683,Héctor Betancur Giraldo
https://openalex.org/W2890644694,first,https://openalex.org/A2338861542,Karol Dobrzeniecki
https://openalex.org/W2889615151,first,https://openalex.org/A2123088335,Carmen E. Pavel
https://openalex.org/W2891285872,first,https://openalex.org/A1999153009,Stanley L. Paulson
https://openalex.org/W2890066312,first,https://openalex.org/A2221125562,Carsten Fogh Nielsen
